y,z
2.410208598752149101e+00,2.532858785819214020e+01
2.416506592923431285e+00,2.484944374255721655e+01
2.432202395709490705e+00,2.438302853285571459e+01
2.457806569825958132e+00,2.392894041906375335e+01
2.493704852581922093e+00,2.348687278513099486e+01
2.540199208731649172e+00,2.305660437871182822e+01
2.597541906403242340e+00,2.263799124198732216e+01
2.665963513168234655e+00,2.223096059095101396e+01
2.745695642286278382e+00,2.183550668057653965e+01
2.836989199779860638e+00,2.145168860989454274e+01
2.940128796472204264e+00,2.107962998393759690e+01
3.055443898638624756e+00,2.071952034325648739e+01
3.183317198366991896e+00,2.037161828474938829e+01
3.324190591099937642e+00,2.003625622154518382e+01
3.478569053473254069e+00,1.971384675873020953e+01
3.647022619249300934e+00,1.940489069161925784e+01
3.830186554161502777e+00,1.910998666099188981e+01
4.028759730692187624e+00,1.882984252280482451e+01
4.243501099680987210e+00,1.856528850608712133e+01
4.475224045385919780e+00,1.831729223954699037e+01
4.724788292187578342e+00,1.808697572181051072e+01
4.993088902507115456e+00,1.787563428818650380e+01
5.281041764884615297e+00,1.768475758313385171e+01
5.589564817287079990e+00,1.751605247526031306e+01
5.919554083415561330e+00,1.737146774171918651e+01
6.271853420704801785e+00,1.725322018987572292e+01
6.647216692353032030e+00,1.716382166191699099e+01
7.046260890862255266e+00,1.710610606556457469e+01
7.469408572195144203e+00,1.708325517127172333e+01
7.916817831470813083e+00,1.709882139109150501e+01
8.388297998722414661e+00,1.715674508393064102e+01
8.883209307886961170e+00,1.726136309546341607e+01
9.400345065006973755e+00,1.741740422497288776e+01
9.937795407620008348e+00,1.762996611714364192e+01
1.049279272830982457e+01,1.790446673236033348e+01
1.106154037985343130e+01,1.824656212568692837e+01
1.163902855632905720e+01,1.866202089916643914e+01
1.221884442711927043e+01,1.915654461380653828e+01
1.279298783380634141e+01,1.973552300856208319e+01
1.335170920463963817e+01,2.040371357477373238e+01
1.388339269011375876e+01,2.116483753734139128e+01
1.437451448301621681e+01,2.202108939764758588e+01
1.480971303475822687e+01,2.297256575046183613e+01
1.517201301977752692e+01,2.401663182368026028e+01
1.544324636296175868e+01,2.514726139829724261e+01
1.560470873212020670e+01,2.635440686164835355e+01
1.563807557660575753e+01,2.762347912808038330e+01
1.552657538532366033e+01,2.893503810718305758e+01
1.525637816367238564e+01,3.026480726215132933e+01
1.481810603095724055e+01,3.158412285823202126e+01
1.420831669652335272e+01,3.286090186327167117e+01
1.343076107765484828e+01,3.406115680170643856e+01
1.249718952915484671e+01,3.515100201726603046e+01
1.142749395821479830e+01,3.609899407267354121e+01
1.024903716664054976e+01,3.687855025544725862e+01
8.995135484263659720e+00,3.747012161908504169e+01
7.702808390903896907e+00,3.786278822298231717e+01
6.410055536984656577e+00,3.805500990321149857e+01
5.153026296415869290e+00,3.805440016685680860e+01
3.963476058647138700e+00,3.787656394967249440e+01
2.866844882041826637e+00,3.754320650383743185e+01
1.881163909502709064e+00,3.707983551923224752e+01
1.016831541356521651e+00,3.651341412748178072e+01
2.771504482703189831e-01,3.587027793918392149e+01
-3.405861111361421223e-01,3.517452826624820261e+01
-8.437094006542134039e-01,3.444699196757495230e+01
-1.242724449490855365e+00,3.370472939958310832e+01
-1.549970871669140049e+00,3.296099675277971386e+01
-1.778503683855973350e+00,3.222553340979838055e+01
-1.941238618954002515e+00,3.150504288202910530e+01
-2.050358260389397280e+00,3.080375563831682229e+01
-2.116945781944498783e+00,3.012399167821354951e+01
-2.150799843956417767e+00,2.946667085378781081e+01
-2.160382622244952699e+00,2.883174435932691182e+01
-2.152858212596290510e+00,2.821853942924645864e+01
-2.134186910372873225e+00,2.762602123254807296e+01
-2.109249559028669729e+00,2.705298244749290504e+01
-2.081983897031897790e+00,2.649817358292796143e+01
-2.055521048447344512e+00,2.596038719977039122e+01
-2.032314944457525030e+00,2.543850788625119108e+01
-2.014260731909244040e+00,2.493153792706576866e+01
-2.002800409869193832e+00,2.443860656642644003e+01
-1.999015322209360734e+00,2.395896887090456673e+01
-2.003705964754462610e+00,2.349199857758575760e+01
-2.017460024780646677e+00,2.303717800414455041e+01
-2.040709791792512995e+00,2.259408708707826108e+01
-2.073780152448058800e+00,2.216239286502281658e+01
-2.116928368818492778e+00,2.174184018964640686e+01
-2.170376775546729586e+00,2.133224408127274785e+01
-2.234339441038783125e+00,2.093348390920034419e+01
-2.309043734419008231e+00,2.054549943341395135e+01
-2.394747631668970200e+00,2.016828866770380557e+01
-2.491753485707647542e+00,1.980190749313295129e+01
-2.600418878581558513e+00,1.944647094974471457e+01
-2.721165070507885364e+00,1.910215615217692431e+01
-2.854483460452949206e+00,1.876920680363149074e+01
-3.000940375778829772e+00,1.844793931713597601e+01
-3.161180413261397870e+00,1.813875058969916054e+01
-3.335928459000330193e+00,1.784212751143360620e+01
-3.525990418475211552e+00,1.755865832627328160e+01
-3.732252587875813266e+00,1.728904599205494108e+01
-3.955679491039729267e+00,1.703412371380727919e+01
-4.197309889646263059e+00,1.679487284294420846e+01
-4.458250544157486672e+00,1.657244334366109584e+01
-4.739667155511223307e+00,1.636817702188961832e+01
-5.042771748802802989e+00,1.618363368565243121e+01
-5.368805566385394634e+00,1.602062035027251952e+01
-5.719016315896545244e+00,1.588122350641681102e+01
-6.094628367054213847e+00,1.576784431852002655e+01
-6.496804210655614753e+00,1.568323639641890388e+01
-6.926595189421695054e+00,1.563054545945706053e+01
-7.384879195411969910e+00,1.561334975944188308e+01
-7.872282725362016009e+00,1.563569951009731795e+01
-8.389084431359094651e+00,1.570215274407172856e+01
-8.935097159143721157e+00,1.581780393892162628e+01
-9.509525518657156340e+00,1.598830037720311559e+01
-1.011079640820339165e+01,1.621983949979213691e+01
-1.073636078932922544e+01,1.651913846824871968e+01
-1.138246661390671832e+01,1.689336481278736812e+01
-1.204390542436702738e+01,1.735001453186795217e+01
-1.271373911506820420e+01,1.789672158271488556e+01
-1.338301900258500510e+01,1.854098080439868923e+01
-1.404051699319421687e+01,1.928976564832120388e+01
-1.467249836384753259e+01,2.014902367267533378e+01
-1.526257722055702004e+01,2.112303794372973442e+01
-1.579170815249815796e+01,2.221365290892201827e+01
-1.623837907622389309e+01,2.341938065110027622e+01
-1.657907759044876883e+01,2.473442897821670527e+01
-1.678910172637435849e+01,2.614772664097148791e+01
-1.684376998488596300e+01,2.764206091864399895e+01
-1.672004900446115983e+01,2.919348317886109712e+01
-1.639855592065991630e+01,3.077116867946986289e+01
-1.586580717214636493e+01,3.233792346996385447e+01
-1.511648537555649163e+01,3.385149743317477800e+01
-1.415540124295431923e+01,3.526677515000800867e+01
-1.299876910653912176e+01,3.653877317410155712e+01
-1.167442726781547790e+01,3.762619026361242192e+01
-1.022074419243904408e+01,3.849507579954346426e+01
-8.684159742030416851e+00,3.912205799923486893e+01
-7.115581629319695622e+00,3.949656428506160921e+01
-5.566120698339268813e+00,3.962160206801213036e+01
-4.082820055111876734e+00,3.951293233148206241e+01
-2.705048434477800523e+00,3.919679263655843471e+01
-1.462075035032291304e+00,3.870661326255311252e+01
-3.720699642781184480e-01,3.807933346403182640e+01
5.575291436916137711e-01,3.735192480340041499e+01
1.328586801662112737e+00,3.655858615925076549e+01
1.950204220233991093e+00,3.572885561908385199e+01
2.436449822382551478e+00,3.488666437609904136e+01
2.804228918118333080e+00,3.405019364797122705e+01
3.071507241219573636e+00,3.323231042052098161e+01
3.255978034388022913e+00,3.244134430919600476e+01
3.374167312754347225e+00,3.168200231999501071e+01
3.440914900365653839e+00,3.095627445034019942e+01
3.469145203415820333e+00,3.026424063447019108e+01
3.469841265461593771e+00,2.960473701532432145e+01
3.452147985277886910e+00,2.897587294159513860e+01
3.423547428819295302e+00,2.837541023170133059e+01
3.390065939992610300e+00,2.780102606906153895e+01
3.356486814453183420e+00,2.725048375773472031e+01
3.326552925053714027e+00,2.672173434699341144e+01
3.303151098897999294e+00,2.621296891769554094e+01
3.288474861646539793e+00,2.572263745655417111e+01
3.284165074278488028e+00,2.524944649159020216e+01
3.291429596131702162e+00,2.479234439286349811e+01
3.311143883784530395e+00,2.435050058355515290e+01
3.343934710495376272e+00,2.392328284983751985e+01
3.390249185887422634e+00,2.351023541184371624e+01
3.450411107883193829e+00,2.311105932798793461e+01
3.524666469192624607e+00,2.272559605623869317e+01
3.613219712922284721e+00,2.235381450441352769e+01
3.716262107838401274e+00,2.199580159701242010e+01
3.833993402536994832e+00,2.165175621279265172e+01
3.966637721596063315e+00,2.132198626237660832e+01
4.114454484847048121e+00,2.100690864663622648e+01
4.277744961057750928e+00,2.070705184094920881e+01
4.456854907095487484e+00,2.042306087073653131e+01
4.652173590681494275e+00,2.015570446778276548e+01
4.864129347095969003e+00,1.990588421579261791e+01
5.093181675976119038e+00,1.967464550059342443e+01
5.339809742482412247e+00,1.946319006959392439e+01
5.604497007058179214e+00,1.927288997113071289e+01
5.887711570164891661e+00,1.910530258150221528e+01
6.189881684459364486e+00,1.896218632945808835e+01
6.511365760510436473e+00,1.884551658739406221e+01
6.852416079618306455e+00,1.875750100720363278e+01
7.213135338536382335e+00,1.870059332753618264e+01
7.593425100704596531e+00,1.867750435869705683e+01
7.992925238080225370e+00,1.869120845295586619e+01
8.410943545760510176e+00,1.874494328550706257e+01
8.846374936712834369e+00,1.884220020397582829e+01
9.297610025075307760e+00,1.898670176081772354e+01
9.762433543637028421e+00,1.918236234699631737e+01
1.023791398378332040e+01,1.943322714345623226e+01
1.072028716909324508e+01,1.974338397789339439e+01
1.120483824768838943e+01,2.011684224004421040e+01
1.168578886435737374e+01,2.055737294512574920e+01
1.215619905773619003e+01,2.106830458043168619e+01
1.260789664630178031e+01,2.165227082586474339e+01
1.303145031835743062e+01,2.231090895629422732e+01
1.341620594265196686e+01,2.304451207465436013e+01
1.375040815042037323e+01,2.385164459086542266e+01
1.402143012166870406e+01,2.472873867501987988e+01
1.421613260230695452e+01,2.566969955178786833e+01
1.432136720107044603e+01,2.666555870222340374e+01
1.432462777019440026e+01,2.770422480157621337e+01
1.421483644469073404e+01,2.877039021109399997e+01
1.398322799724727972e+01,2.984565297590561883e+01
1.362426944714225563e+01,3.090890715012568535e+01
1.313652525000875571e+01,3.193703496884375070e+01
1.252335779815485495e+01,3.290590172213319420e+01
1.179334550578110985e+01,3.379161001321021729e+01
1.096031308484253763e+01,3.457192025973069605e+01
1.004290446644369617e+01,3.522769860478454262e+01
9.063686539311316182e+00,3.574422388286069463e+01
8.047843037375596253e+00,3.611218296248646453e+01
7.021588106474576207e+00,3.632821459360923200e+01
6.010481345139266018e+00,3.639492335445927296e+01
5.037846187312133850e+00,3.632036576734732591e+01
4.123474998409682790e+00,3.611709200014460208e+01
3.282751417035708386e+00,3.580088972437052774e+01
2.526246944379969328e+00,3.538940790525042246e+01
1.859772924751718293e+00,3.490083334857668262e+01
1.284807785502606770e+00,3.435275756454917939e+01
7.991832235311291388e-01,3.376131867146156651e+01
3.979041201484367352e-01,3.314064727182439896e+01
7.399044867794563052e-02,3.250259838834951154e+01
-1.807434302578311280e-01,3.185672026122076161e+01
-3.750250370254525900e-01,3.121039623281434672e+01
-5.175994448513624446e-01,3.056909527465744247e+01
-6.168456550655583293e-01,2.993667527233046499e+01
-6.805202267264813809e-01,2.931569623656472601e+01
-7.156070337984430374e-01,2.870771442307516352e+01
-7.282497307400447317e-01,2.811354056646038302e+01
-7.237447165007768746e-01,2.753345496558449312e+01
-7.065754697558475073e-01,2.696737880598693238e+01
-6.804728953478298425e-01,2.641500520453713108e+01
-6.484900248079568108e-01,2.587589557416036001e+01
-6.130826589564793982e-01,2.534954762108009518e+01
-5.761901797625453847e-01,2.483544111513164054e+01
-5.393127910125307123e-01,2.433306690985692100e+01
-5.035829462153147418e-01,2.384194381054979317e+01
-4.698297875542791213e-01,2.336162697334296112e+01
-4.386361512619516567e-01,2.289171066973121782e+01
-4.103881791569126136e-01,2.243182751894161342e+01
-3.853178827005149798e-01,2.198164569158599591e+01
-3.635391876437688574e-01,2.154086511817725480e+01
-3.450780829174779907e-01,2.110921338090806287e+01
-3.298975346417333254e-01,2.068644170783283442e+01
-3.179178245860324603e-01,2.027232130600623350e+01
-3.090329458165895771e-01,1.986664014653732124e+01
-3.031236462092697370e-01,1.946920023477762030e+01
-3.000676596919217287e-01,1.907981535064201495e+01
-2.997476102054648095e-01,1.869830921771582766e+01
-3.020570177172964277e-01,1.832451404804240269e+01
-3.069047814439464505e-01,1.795826940698896479e+01
-3.142184642586811072e-01,1.759942134559331706e+01
-3.239466550374863196e-01,1.724782175373897175e+01
-3.360606429830163555e-01,1.690332789472211417e+01
-3.505556000004249606e-01,1.656580208923307396e+01
-3.674514339924862538e-01,1.623511152389768597e+01
-3.867934473405359452e-01,1.591112816603137325e+01
-4.086529105758053837e-01,1.559372877206744867e+01
-4.331276409836362085e-01,1.528279498226712718e+01
-4.603426592414682772e-01,1.497821349890839215e+01
-4.904509837750611334e-01,1.467987634932717889e+01
-5.236346119327653925e-01,1.438768123910792163e+01
-5.601057289457076482e-01,1.410153200455902045e+01
-6.001081796053300277e-01,1.382133917753260910e+01
-6.439192333173378024e-01,1.354702067983040870e+01
-6.918516703773557319e-01,1.327850266905729448e+01
-7.442562156768518511e-01,1.301572056303070113e+01
-8.015243453254659034e-01,1.275862027593264614e+01
-8.640914916169305515e-01,1.250715970653092413e+01
-9.324406721218513328e-01,1.226131052725697401e+01
-1.007106569203601421e+00,1.202106033301010335e+01
-1.088680086640647859e+00,1.178641522061051639e+01
-1.177813409973173631e+00,1.155740288425597662e+01
-1.275225596279715212e+00,1.133407632962834199e+01
-1.381708716838504936e+00,1.111651833000792244e+01
-1.498134571909264467e+00,1.090484677253943602e+01
-1.625461989868553392e+00,1.069922107240988396e+01
-1.764744712078413880e+00,1.049984986801166720e+01
-1.917139848762602794e+00,1.030700025215014826e+01
-2.083916867964013875e+00,1.012100884409163015e+01
-2.266467046937937990e+00,9.942295065889870997e+00
-2.466313269918670503e+00,9.771377055155598512e+00
-2.685119993919851566e+00,9.608890726354820444e+00
-2.924703119664645801e+00,9.455612584724880421e+00
-3.187039390845783249e+00,9.312487001395819419e+00
-3.474274792595900330e+00,9.180658774850570580e+00
-3.788731217656640116e+00,9.061511930549134064e+00
-4.132910401481701079e+00,8.956715843139326338e+00
-4.509493776840719725e+00,8.868279896299595677e+00
-4.921336441491962255e+00,8.798618010499174247e+00
-5.371452841454732230e+00,8.750624447185018084e+00
-5.862991014825649216e+00,8.727762305471054916e+00
-6.399191280471066889e+00,8.734166013443832810e+00
-6.983324054260158675e+00,8.774758805592577815e+00
-7.618599998315491284e+00,8.855385562094758356e+00
-8.308043934756847548e+00,8.982960311357526706e+00
-9.054321893197080584e+00,9.165625952703560841e+00
-9.859508376897549553e+00,9.412921057590990515e+00
-1.072477859308907711e+01,9.735944588197524396e+00
-1.165000833224956445e+01,1.014750357991995600e+01
-1.263326299373651551e+01,1.066222075434605543e+01
-1.367015792366321669e+01,1.129656814886236305e+01
-1.475307628194916987e+01,1.206877880252982571e+01
-1.587024032303932231e+01,1.299857138014384539e+01
-1.700465031135598792e+01,1.410660328999568591e+01
-1.813293610473667528e+01,1.541354890985105897e+01
-1.922421382494164988e+01,1.693868615177139603e+01
-2.023910717342986132e+01,1.869787574766263560e+01
-2.112917969310255017e+01,2.070084710505812353e+01
-2.183712311904332637e+01,2.294778089023202128e+01
-2.229813744375749707e+01,2.542532222698441302e+01
-2.244298111457900546e+01,2.810238467203707557e+01
-2.220310407367705707e+01,3.092640911998562459e+01
-2.151802739262628350e+01,3.382107752809023538e+01
-2.034463907478492217e+01,3.668674021146998854e+01
-1.866733866067814063e+01,3.940482132716010000e+01
-1.650711763210901140e+01,4.184701506814095495e+01
-1.392701811934793987e+01,4.388904591242327768e+01
-1.103140846934963548e+01,4.542724326855969963e+01
-7.957525534936405798e+00,4.639463127475625726e+01
-4.859762422306453722e+00,4.677240803642114031e+01
-1.889626820209262981e+00,4.659328162475483737e+01
8.239229623886554776e-01,4.593527241280651907e+01
3.188936374676462737e+00,4.490754284145848629e+01
5.156650656637534524e+00,4.363224618286931644e+01
6.719134282924822621e+00,4.222717024577595879e+01
7.900655155725181622e+00,4.079289150258858854e+01
8.746235052883314154e+00,3.940602603978399543e+01
9.310575226919393543e+00,3.811809795515993926e+01
9.649357173351654993e+00,3.695831714063932338e+01
9.813601066869358291e+00,3.593830017698059720e+01
9.846809868349502892e+00,3.505716117671691023e+01
9.784174772863011071e+00,3.430602040308311729e+01
9.653055992918678996e+00,3.367153133750196048e+01
9.474098243798188435e+00,3.313839338044790139e+01
9.262545115548768138e+00,3.269100212251960613e+01
9.029499291320746579e+00,3.231444693878301422e+01
8.783007819704119257e+00,3.199505412685070738e+01
8.528934289496014287e+00,3.172063433508628805e+01
8.271624797944008733e+00,3.148054917757220394e+01
8.014395148194147112e+00,3.126567429111698715e+01
7.759873072676840344e+00,3.106830770588472745e+01
7.510228354833992981e+00,3.088205274355645358e+01
7.267319629943807868e+00,3.070169192122338231e+01
7.032781610347414336e+00,3.052306057947243900e+01
6.808071573345388927e+00,3.034292452651510885e+01
6.594489607081600369e+00,3.015886366194810719e+01
6.393183447517157170e+00,2.996916245069661855e+01
6.205145734415021153e+00,2.977270768972936565e+01
6.031209093515118802e+00,2.956889389125540646e+01
5.872042535580373368e+00,2.935753658947158939e+01
5.728151177763297852e+00,2.913879385646935916e+01
5.599880175542006455e+00,2.891309624331513461e+01
5.487422948761224717e+00,2.868108523926521514e+01
5.390833242535567393e+00,2.844356018020640064e+01
5.310040235574906120e+00,2.820143335913957117e+01
5.244865750169396712e+00,2.795569291926811673e+01
5.195042587985672533e+00,2.770737296206030464e+01
5.160233076317190637e+00,2.745753019028769870e+01
5.140047027783695377e+00,2.720722633480600905e+01
5.134058465606467614e+00,2.695751558348183607e+01
5.141820625323179073e+00,2.670943623678747159e+01
5.162878896708238408e+00,2.646400585022456653e+01
5.196781506482283319e+00,2.622221918079021208e+01
5.243087857280857023e+00,2.598504832504995221e+01
5.301374528956812604e+00,2.575344451269612023e+01
5.371239014852171145e+00,2.552834109565150555e+01
5.452301310194732409e+00,2.531065734415346569e+01
5.544203495323493769e+00,2.510130272454776801e+01
5.646607466623831506e+00,2.490118138670487369e+01
5.759190966595807204e+00,2.471119663103844388e+01
5.881642055008146741e+00,2.453225515583584482e+01
6.013652148968476219e+00,2.436527090534612938e+01
6.154907744012110271e+00,2.421116834853559396e+01
6.305080913706269996e+00,2.407088501858467566e+01
6.463818674236923023e+00,2.394537313519836630e+01
6.630731295224649990e+00,2.383560011690736502e+01
6.805379640676708419e+00,2.374254777017279139e+01
6.987261636483071747e+00,2.366720991790817763e+01
7.175797985070078155e+00,2.361058820393576951e+01
7.370317285492448356e+00,2.357368578425867156e+01
7.570040769952872672e+00,2.355749859377293376e+01
7.774066936761403923e+00,2.356300386178037343e+01
7.981356445844135727e+00,2.359114554583617007e+01
8.190717746031776159e+00,2.364281636643498175e+01
8.400794022251952597e+00,2.371883616110064352e+01
8.610052182473770799e+00,2.381992634273208509e+01
8.816774743612882048e+00,2.394668035128024286e+01
9.019055614537535348e+00,2.409953013777245445e+01
9.214800901306235303e+00,2.427870892242996703e+01
9.401735959394617481e+00,2.448421072934744558e+01
9.577419970434551288e+00,2.471574752073845715e+01
9.739269303627818175e+00,2.497270513064227870e+01
9.884590808507706328e+00,2.525409962036398070e+01
1.001062594935012129e+01,2.555853612532145647e+01
1.011460630792072202e+01,2.588417270350736388e+01
1.019382043280540451e+01,2.622869208513245098e+01
1.024569129500378395e+01,2.658928450500839702e+01
1.026786273389135573e+01,2.696264490855119789e+01
1.025829228256396242e+01,2.734498769017201170e+01
1.021534671324518406e+01,2.773208168587936839e+01
1.013789563818011352e+01,2.811930735392898839e+01
1.002539766192855986e+01,2.850173692295028260e+01
9.877973046175329230e+00,2.887423679506843044e+01
9.696456756398857735e+00,2.923158974554024070e+01
9.482426225728433522e+00,2.956863260163898133e+01
9.238199260342954133e+00,2.988040330443465464e+01
8.966799214491153691e+00,3.016228978252533111e+01
8.671886783495114770e+00,3.041017212332635467e+01
8.357660309653276443e+00,3.062054930528131180e+01
8.028729102056198386e+00,3.079064236735071347e+01
7.689966627829535994e+00,3.091846734685151432e+01
7.346352235609715287e+00,3.100287349742132292e+01
7.002811076877201835e+00,3.104354497575722505e+01
6.664061956272173681e+00,3.104096704686025987e+01
6.334481959841778753e+00,3.099636055900179343e+01
6.017995007160280352e+00,3.091159066407772826e+01
5.717989187685818209e+00,3.078905726831787248e+01
5.437265178651569997e+00,3.063157536958105709e+01
5.178015518496638769e+00,3.044225327463664144e+01
4.941832303722748065e+00,3.022437581030385445e+01
4.729739187038690673e+00,2.998129824403583044e+01
4.542242482255725022e+00,2.971635494809434519e+01
4.379395732240304540e+00,2.943278510766655742e+01
4.240872197771445862e+00,2.913367617959141143e+01
4.126040253800204560e+00,2.882192448901902182e+01
4.034037489860160974e+00,2.850021137670924176e+01
3.963840261027998135e+00,2.817099269245804294e+01
3.914326403840190594e+00,2.783649913883637694e+01
3.884329727578372804e+00,2.749874494483604437e+01
3.872685657827875438e+00,2.715954251986296342e+01
3.878268018351880286e+00,2.682052103393327513e+01
3.900017384758285299e+00,2.648314722783532815e+01
3.936961741120899916e+00,2.614874712851467820e+01
3.988230340152818076e+00,2.581852769542468806e+01
4.053061734260752225e+00,2.549359773169051024e+01
4.130806934450376389e+00,2.517498764917893794e+01
4.220928589798218944e+00,2.486366787657464883e+01
4.322996981548067552e+00,2.456056584736163728e+01
4.436683508229125827e+00,2.426658160632434047e+01
4.561752213020864311e+00,2.398260213626477366e+01
4.698049779994105002e+00,2.370951453859744973e+01
4.845494307166100967e+00,2.344821820912939359e+01
5.004063054742623251e+00,2.319963613930376312e+01
5.173779268210585869e+00,2.296472544781286373e+01
5.354698088853267812e+00,2.274448721079495073e+01
5.546891489029921907e+00,2.253997561265580529e+01
5.750432106287487244e+00,2.235230638472499720e+01
5.965375799312949923e+00,2.218266443548495204e+01
6.191742710581289444e+00,2.203231050342976260e+01
6.429496596666845143e+00,2.190258658080413312e+01
6.678522179813184856e+00,2.179491976254259811e+01
6.938600286829645469e+00,2.171082406890359806e+01
7.209380578284977581e+00,2.165189967240638680e+01
7.490351738254753755e+00,2.161982883064388972e+01
7.780809099909020254e+00,2.161636768894974026e+01
