A,B
2.551316764750294563e+00,5.545634982276671288e+00
2.850748586502932280e+00,6.190534851736670063e+00
3.184727213026306014e+00,6.907461787611931747e+00
3.557000670484868454e+00,7.703275976714757611e+00
3.971628201107857414e+00,8.585006387353532276e+00
4.432966019732424989e+00,9.559627448172783204e+00
4.945632162576460544e+00,1.063372157864054657e+01
5.514441104182869147e+00,1.181298569766294371e+01
6.144295563530876692e+00,1.310152818296736577e+01
6.840018825474525777e+00,1.450089013484032741e+01
7.606105956411106206e+00,1.600871317102508229e+01
8.446366677872504169e+00,1.761696935677773723e+01
9.363426945763027476e+00,1.930967459809852471e+01
1.035805171099657684e+01,2.106003723207798473e+01
1.142825026310471692e+01,2.282706769289006132e+01
1.256813200608325154e+01,2.455181960288093634e+01
1.376650076576301984e+01,2.615367917825377120e+01
1.500521860701209498e+01,2.752749553350603406e+01
1.625744629966148835e+01,2.854284806455379453e+01
1.748598647615071755e+01,2.904730486616531238e+01
1.864211831515217810e+01,2.887592813863650321e+01
1.966549929750060954e+01,2.786912406506507622e+01
2.048586177425705657e+01,2.589963568854457066e+01
2.102723916568580620e+01,2.290650799971949425e+01
2.121516604908917358e+01,1.892928169204330402e+01
2.098657761338458627e+01,1.413091629726611487e+01
2.030101148177273984e+01,8.796113817296699722e+00
1.915052171532513725e+01,3.296431113307296989e+00
1.756511265512335385e+01,-1.974191460659508124e+00
1.561118224354506800e+01,-6.674939290068444997e+00
1.338257009018371591e+01,-1.057811070889137106e+01
1.098650201027620810e+01,-1.359305732842644154e+01
8.528546076405943310e+00,-1.575081561693633603e+01
6.100609907071715021e+00,-1.716310466317964156e+01
3.774238450046579540e+00,-1.797580359425256802e+01
1.599234245616664829e+00,-1.833218333230235686e+01
-3.939075121752373398e-01,-1.835168657819745874e+01
-2.189685418777459702e+00,-1.812257172716466513e+01
-3.782974049616180334e+00,-1.770362100616732448e+01
-5.175038745271294260e+00,-1.713026991235453167e+01
-6.370561861979617824e+00,-1.642198056114366267e+01
-7.375703731896022575e+00,-1.558914196712258082e+01
-8.197047555418677689e+00,-1.463876127114578551e+01
-8.841218926991388116e+00,-1.357872394553544204e+01
-9.314969428845794042e+00,-1.242061706349365835e+01
-9.625534192310579940e+00,-1.118118828817536325e+01
-9.781099601897057738e+00,-9.882557734728798948e+00
-9.791245415180231504e+00,-8.551357584246373378e+00
-9.667256632086845158e+00,-7.217050728656302816e+00
-9.422236041743790480e+00,-5.909754492147978766e+00
-9.070987886784209309e+00,-4.657938852551058773e+00
-8.629682983360893900e+00,-3.486356840730692852e+00
-8.115350369097873440e+00,-2.414491610669547761e+00
-7.545264493255040783e+00,-1.455684666088551626e+00
-6.936306510538392089e+00,-6.169728189328539392e-01
-6.304373141377838330e+00,1.004589789025341906e-01
-5.663889929349800845e+00,7.003810349305312766e-01
-5.027462832921767877e+00,1.190379617141385404e+00
-4.405678587915452304e+00,1.580660925761753433e+00
-3.807044636547731731e+00,1.882940861588260351e+00
-3.238046086734132523e+00,2.109509150870594318e+00
-2.703290562973659661e+00,2.272506122123767014e+00
-2.205710894463916993e+00,2.383412007658610499e+00
-1.746798604251664333e+00,2.452724440783990989e+00
-1.326846299748098756e+00,2.489788291006941989e+00
-9.451828406725946152e-01,2.502739738857651997e+00
-6.003905827195699096e-01,2.498529909927559522e+00
-2.904985334548569331e-01,2.482999476858116505e+00
-1.314873242355957261e-02,2.460982348041714562e+00
2.342643756229678687e-01,2.436422714633575737e+00
4.544802095240286777e-01,2.412494798906166693e+00
6.502816684622425569e-01,2.391718528489572559e+00
8.244253544649755572e-01,2.376067165960417782e+00
9.795895356145197796e-01,2.367064854328857937e+00
1.118337067485953629e+00,2.365873310669572849e+00
1.243090691804315640e+00,2.373367700501315181e+00
1.356118392674015682e+00,2.390202203009792470e+00
1.459526773707593428e+00,2.416866041004995580e+00
1.555260700437333554e+00,2.453730875734156935e+00
1.645107717967015937e+00,2.501090506256735679e+00
1.730705996795987911e+00,2.559193798997513092e+00
1.813554777016140429e+00,2.628271726167015654e+00
1.895026471931227974e+00,2.708559324951066216e+00
1.976379757233211798e+00,2.800313310755500495e+00
2.058773112585440490e+00,2.903825992320274274e+00
2.143278400558923824e+00,3.019436047253683864e+00
2.230894165228400006e+00,3.147536625308325675e+00
2.322558411236392395e+00,3.288581154484983227e+00
2.419160685561251523e+00,3.443087132100296266e+00
2.521553330215156041e+00,3.611638089020144271e+00
2.630561806095654820e+00,3.794883819579503825e+00
2.746994007444039543e+00,3.993538871074273189e+00
2.871648493807062774e+00,4.208379183527467760e+00
3.005321562779103228e+00,4.440236660794893098e+00
3.148813072580682437e+00,4.689991335871126488e+00
3.302930898909727020e+00,4.958560664322565259e+00
3.468493875451010844e+00,5.246885338129727572e+00
3.646333021718882517e+00,5.555910856410832821e+00
3.837290805188077414e+00,5.886563919097117292e+00
4.042218116578981224e+00,6.239722525968891986e+00
4.261968557517972656e+00,6.616178470662034350e+00
4.497389548832378736e+00,7.016590725666501882e+00
4.749309666515791228e+00,7.441428034485024767e+00
5.018521503312714849e+00,7.890898884263413571e+00
5.305759241407784543e+00,8.364866961598719897e+00
5.611670013426878434e+00,8.862750247056961683e+00
5.936778036789887025e+00,9.383402151715436901e+00
6.281440448282442190e+00,9.924973638072945192e+00
6.645793767261492846e+00,1.048475622236871985e+01
7.029690012772215724e+00,1.105900727879201284e+01
7.432621739374195791e+00,1.164276133465977559e+01
7.853635698902754037e+00,1.222963424356838225e+01
8.291235553369316946e+00,1.281163141087785817e+01
8.743275139120171957e+00,1.337897670323050825e+01
9.206845295531206119e+00,1.391998521597590255e+01
9.678159287575676117e+00,1.442101032755269685e+01
1.015244439157337908e+01,1.486650262897850894e+01
1.062385021531389206e+01,1.523922397575399401e+01
1.108538759135790208e+01,1.552066195718884600e+01
1.152891502794099665e+01,1.569168571685663416e+01
1.194519209683256022e+01,1.573347008761407295e+01
1.232401989591071079e+01,1.562868850967413437e+01
1.265448675728705297e+01,1.536293472906689850e+01
1.292533155446503734e+01,1.492628043953505212e+01
1.312542644297203864e+01,1.431481715870347671e+01
1.324436551454518174e+01,1.353197768833736347e+01
1.327312673192439973e+01,1.258940226956154618e+01
1.320475428568811438e+01,1.150712502595311193e+01
1.303499135971461342e+01,1.031292041763509815e+01
1.276278426550666190e+01,9.040767479059201861e+00
1.239058258686191571e+01,7.728543759686172798e+00
1.192437870414434187e+01,6.415215912814060673e+00
1.137346242501131321e+01,5.137906256601741717e+00
1.074990680817035660e+01,3.929248047388487208e+00
1.006784093209216913e+01,2.815382983370569470e+00
9.342595137220008894e+00,1.814818785641225229e+00
8.589817502062130572e+00,9.381930138858731727e-01
7.824655053244504721e+00,1.888301107972512050e-01
7.061072558999779147e+00,-4.361296984415807820e-01
6.311352333255642932e+00,-9.442923277252497360e-01
5.585787867157553599e+00,-1.346506015877111384e+00
4.892558478854087234e+00,-1.655476734487489221e+00
4.237754957519929810e+00,-1.884614996535188602e+00
3.625517962114417791e+00,-2.047159139230049885e+00
3.058250251979971246e+00,-2.155569896326738011e+00
2.536868237149300320e+00,-2.221160558963371834e+00
2.061065357538033105e+00,-2.253913654056693527e+00
1.629567456378560486e+00,-2.262433852609075036e+00
1.240367325479796889e+00,-2.253992643949845220e+00
8.909313285368326563e-01,-2.234629130919105755e+00
5.783752825912388262e-01,-2.209280463332122579e+00
2.996097079989026857e-01,-2.181923505744021607e+00
5.145638662461021751e-02,-2.155715776895728020e+00
-1.692608297274235951e-01,-2.133128472884621818e+00
-3.656475940431433980e-01,-2.116067721880158459e+00
-5.406896068268449707e-01,-2.105982428012296737e+00
-6.972188889453901917e-01,-2.103958449681384124e+00
-8.378928450189896404e-01,-2.110799676342324016e+00
-9.651835281513231335e-01,-2.127097010543046007e+00
-1.081374876390495343e+00,-2.153286465986594234e+00
-1.188566035350105299e+00,-2.189697650629010450e+00
-1.288679196877995814e+00,-2.236593876671122416e+00
-1.383470664857308519e+00,-2.294205064506402714e+00
-1.474544104822217871e+00,-2.362754508110114671e+00
-1.563365145151007551e+00,-2.442480458426172341e+00
-1.651276676478524053e+00,-2.533653366671935192e+00
-1.739514345497865211e+00,-2.636589515306773990e+00
-1.829221862478756178e+00,-2.751661652783962797e+00
-1.921465841509276906e+00,-2.879307139929100146e+00
-2.017249971351259052e+00,-3.020034010814565573e+00
-2.117528375297589527e+00,-3.174425248656206122e+00
-2.223218062633451009e+00,-3.343141476357320396e+00
-2.335210404005838125e+00,-3.526922160212401014e+00
-2.454381579626494503e+00,-3.726585321864925415e+00
-2.581601953850337416e+00,-3.943025645374375721e+00
-2.717744323002741158e+00,-4.177210750278478990e+00
-2.863690965730314897e+00,-4.430175274584489564e+00
-3.020339396615732142e+00,-4.703012270183127619e+00
-3.188606683972471600e+00,-4.996861253653449353e+00
-3.369432140940569198e+00,-5.312892074396144970e+00
-3.563778134286126775e+00,-5.652283556686819033e+00
-3.772628676526196045e+00,-6.016195641059182364e+00
-3.996985372979494855e+00,-6.405733494208715406e+00
-4.237860185102416466e+00,-6.821901779986849768e+00
-4.496264344590859885e+00,-7.265546997693155262e+00
-4.773192609901089511e+00,-7.737285517501240051e+00
-5.069601900661104388e+00,-8.237414709410279201e+00
-5.386383181536022136e+00,-8.765804423128205514e+00
-5.724325305695240118e+00,-9.321766108585771704e+00
-6.084069385984292921e+00,-9.903897180243827592e+00
-6.466052165410246744e+00,-1.050989897403455231e+01
-6.870436846272677478e+00,-1.113636802254331393e+01
-7.297029963899740679e+00,-1.177856263063203279e+01
-7.745183230572969535e+00,-1.243015016072556733e+01
-8.213679923588228959e+00,-1.308294534049047364e+01
-8.700606465278452717e+00,-1.372665655075043034e+01
-9.203211473825650302e+00,-1.434866556168305785e+01
-9.717756882611391589e+00,-1.493387638334713152e+01
-1.023936883268496523e+01,-1.546468007961360414e+01
-1.076189995737782823e+01,-1.592109305625726279e+01
-1.127781926726577133e+01,-1.628113388414059060e+01
-1.177815072895325343e+01,-1.652150431453913626e+01
-1.225248608751184243e+01,-1.661862882847374578e+01
-1.268910036160803223e+01,-1.655007847353416395e+01
-1.307519817280064522e+01,-1.629635466229996155e+01
-1.339731382175057739e+01,-1.584293644747268459e+01
-1.364187608432278864e+01,-1.518240667175748193e+01
-1.379592914306625850e+01,-1.431638376340125873e+01
-1.384797460509975764e+01,-1.325692189376863972e+01
-1.378886933396664638e+01,-1.202703331882920779e+01
-1.361268573245290270e+01,-1.066005938513602125e+01
-1.331742309772121402e+01,-9.197779458496327720e+00
-1.290545873379872610e+01,-7.687378576855741663e+00
-1.238365071810442686e+01,-6.177641124236902925e+00
-1.176304975871767411e+01,-4.714926072555620351e+00
-1.105823739010146944e+01,-3.339543881363681521e+00
-1.028636803922769083e+01,-2.083067893775686130e+00
-9.466038024682490004e+00,-9.668990038071711979e-01
-8.616124122594957413e+00,-2.130648153733649686e-03
-7.754724775150835470e+00,8.094847377744475159e-01
-6.898303823858307204e+00,1.473823314001944329e+00
-6.061091110072282184e+00,2.002331686599116534e+00
-5.254748830405142179e+00,2.409973186695731240e+00
-4.488276628695055059e+00,2.713424204875780177e+00
-3.768106545337971625e+00,2.929649573894633985e+00
-3.098330933414711108e+00,3.074887579315903174e+00
-2.481009082141649724e+00,3.164008746470159394e+00
-1.916507299280468590e+00,3.210178344716204002e+00
-1.403838734880801242e+00,3.224743277725754087e+00
-9.409805336201456649e-01,3.217270294201207026e+00
-5.251554508380104069e-01,3.195676086212955180e+00
-1.530722971329138149e-01,3.166405186996483767e+00
1.788754512800259655e-01,3.134625458645599494e+00
4.744504520165833128e-01,3.104422048845217219e+00
7.374476116994467256e-01,3.078978811518774616e+00
9.716007316813795036e-01,3.060741715039529520e+00
1.180514830017194594e+00,3.051562284785105383e+00
1.367619575493985717e+00,3.052821216242146640e+00
1.536139739568801899e+00,3.065533424358085846e+00
1.689079108047730315e+00,3.090436318467969290e+00
1.829214829089754302e+00,3.128063255513192420e+00
1.959099671732098091e+00,3.178804087602409734e+00
2.081070113319129167e+00,3.242954581914105905e+00
2.197258560178626752e+00,3.320756308802061074e+00
2.309608335040969962e+00,3.412428398795749551e+00
2.419890341416448098e+00,3.518192376310751879e+00
2.529720544905878388e+00,3.638291093727330061e+00
2.640577599788023644e+00,3.773002615782410807e+00
2.753820101387462138e+00,3.922649740386595418e+00
2.870703065287375289e+00,4.087605686467584931e+00
2.992393327405396430e+00,4.268296330348856138e+00
3.119983627699742357e+00,4.465199227531472026e+00
3.254505187682915412e+00,4.678839514659681953e+00
3.396938620380592244e+00,4.909782645170986726e+00
3.548223022859631648e+00,5.158623770170762235e+00
3.709263097590744795e+00,5.425973432378077277e+00
3.880934131069477822e+00,5.712439095226023333e+00
4.064084627485132550e+00,6.018601882162108119e+00
4.259536352952830285e+00,6.344987755400016027e+00
4.468081493197549214e+00,6.692032223869736285e+00
4.690476566264767833e+00,7.060037545540450488e+00
4.927432664192336276e+00,7.449121293255170251e+00
5.179601527098619762e+00,7.859155105980101474e+00
5.447556884986767933e+00,8.289692477849053276e+00
5.731770444272996201e+00,8.739884585331695988e+00
6.032581858378866180e+00,9.208383471011355681e+00
6.350162019642114686e+00,9.693232458134444229e+00
6.684469063491347285e+00,1.019174454539212071e+01
7.035196611681424628e+00,1.070037082073412549e+01
7.401714032586694358e+00,1.121456273603059373e+01
7.782998902931084650e+00,1.172863449161924798e+01
8.177562461799901428e+00,1.223563484791291067e+01
8.583369700411202174e+00,1.272724139484466477e+01
8.997756869854548256e+00,1.319369452717909219e+01
9.417350635587002472e+00,1.362379275717785632e+01
9.837994847746088567e+00,1.400497493539901583e+01
1.025469285651138129e+01,1.432351749422375420e+01
1.066157532028261912e+01,1.456487465814350379e+01
1.105190525406870705e+01,1.471418505677014643e+01
1.141813323433885152e+01,1.475695761788636595e+01
1.175201567269360226e+01,1.467993162754944336e+01
1.204480726817918601e+01,1.447208002133534777e+01
1.228753454349480201e+01,1.412569269908452796e+01
1.247135035905377443e+01,1.363744185426326716e+01
1.258795950857472334e+01,1.300930075800531327e+01
1.263009363351778269e+01,1.224917020732865858e+01
1.259200129089887099e+01,1.137107245783136200e+01
1.246990840759212027e+01,1.039480779911035135e+01
1.226239834674394302e+01,9.345034631840727357e+00
1.197066197525362163e+01,8.249821660173479287e+00
1.159857794374560669e+01,7.138813333217101764e+00
1.115260148269275575e+01,6.041224404736141196e+00
1.064146377489709394e+01,4.983915555046682044e+00
1.007570895291205204e+01,3.989787909853156123e+00
9.467116848606162094e+00,3.076672750396250766e+00
8.828072438785170561e+00,2.256800302949870662e+00
8.170945225201640127e+00,1.536832667650353201e+00
7.507533969446511080e+00,9.183643290637040213e-01
6.848617005408230263e+00,3.987446315592585444e-01
6.203629768023333213e+00,-2.793610776453003819e-02
5.580473180444546877e+00,-3.698378339204664855e-01
4.985442079008045368e+00,-6.364448034229415185e-01
4.423253390764946502e+00,-8.377866844319389328e-01
3.897149383245257948e+00,-9.838335400227701255e-01
3.409051090918455262e+00,-1.084063204827828697e+00
2.959739661343826711e+00,-1.147181694508253802e+00
2.549047525758618704e+00,-1.180968641399374297e+00
2.176045909042819471e+00,-1.192217900343611969e+00
1.839219528104176327e+00,-1.186745839102641531e+00
1.536622991383494563e+00,-1.169444279681973731e+00
1.266016264276947689e+00,-1.144360094060959288e+00
1.024978628443157014e+00,-1.114788189972823362e+00
8.110019466015589984e-01,-1.083368623869779723e+00
6.215648895544251262e-01,-1.052181728366758051e+00
4.541902277623067752e-01,-1.022837490876979949e+00
3.064874558983781139e-01,-9.965570963293606255e-01
1.761830006756042455e-01,-9.742456963537307058e-01
6.114013097267075036e-02,-9.565562254235755457e-01
-4.062950466695387786e-02,-9.439445627683253903e-01
-1.309610104770910222e-01,-9.367166231905704743e-01
-2.115365717484389840e-01,-9.350681130212203929e-01
-2.838897258757171471e-01,-9.391177536667613124e-01
-3.494125286548215858e-01,-9.489347851162887038e-01
-4.093647543009683032e-01,-9.645615361211913319e-01
-4.648844324829906061e-01,-9.860318004941056591e-01
-5.169991692841020559e-01,-1.013385699471361256e+00
-5.666378223028279981e-01,-1.046681644653846055e+00
-6.146422045379298371e-01,-1.086005948935870213e+00
-6.617785789777238525e-01,-1.131480566897383966e+00
-7.087487777696899194e-01,-1.183269383236386751e+00
-7.562008383163596470e-01,-1.241583409109987546e+00
-8.047390953957224147e-01,-1.306685192358471248e+00
-8.549337050919972869e-01,-1.378892698723794386e+00
-9.073296044551769635e-01,-1.458582877238617126e+00
-9.624549317335209242e-01,-1.546195083592790676e+00
-1.020828946919447811e+00,-1.642234499905784517e+00
-1.082969502218081415e+00,-1.747275657185046072e+00
-1.149400117714777902e+00,-1.861966136899235069e+00
-1.220656719633223641e+00,-1.987030499436639230e+00
-1.297294097613565178e+00,-2.123274458459049718e+00
-1.379892133698113588e+00,-2.271589289785123089e+00
-1.469061849306814604e+00,-2.432956429659027364e+00
-1.565451307342035969e+00,-2.608452177954537543e+00
-1.669751394403286238e+00,-2.799252374477405603e+00
-1.782701492410698085e+00,-3.006636857965348408e+00
-1.905095028966163007e+00,-3.231993443877412275e+00
-2.037784870457287845e+00,-3.476821064016584195e+00
-2.181688489813217391e+00,-3.742731592845845334e+00
-2.337792800116480052e+00,-4.031449735267440992e+00
-2.507158493631576057e+00,-4.344810160531046073e+00
-2.690923660321522970e+00,-4.684750827270312890e+00
-2.890306377016401918e+00,-5.053301144462746919e+00
-3.106605853761036595e+00,-5.452563240200569261e+00
-3.341201592404989817e+00,-5.884684151830205323e+00
-3.595549848347511457e+00,-6.351816195271918986e+00
-3.871176483039952210e+00,-6.856062109216875200e+00
-4.169665045657644953e+00,-7.399400799406749663e+00
-4.492638621032555513e+00,-7.983588640525844937e+00
-4.841733622981884366e+00,-8.610030362437301577e+00
-5.218563296927426265e+00,-9.279612624860394732e+00
-5.624668229720723112e+00,-9.992492599177200674e+00
-6.061450666666370779e+00,-1.074783344283153497e+01
-6.530088944282887553e+00,-1.154347880793450898e+01
-7.031427930648050051e+00,-1.237555997385893392e+01
-7.565841134969138793e+00,-1.323803254636168347e+01
-8.133060276108393438e+00,-1.412214587792561105e+01
-8.731968836290114666e+00,-1.501585862612439115e+01
-9.360357815273541604e+00,-1.590322951372741223e+01
-1.001464498511892920e+01,-1.676383461705604461e+01
-1.068956394831264056e+01,-1.757229201399301388e+01
-1.137783675488067736e+01,-1.829801053316768389e+01
-1.206985413270937713e+01,-1.890531808635121536e+01
-1.275340052807356095e+01,-1.935415872647372382e+01
-1.341347634791357635e+01,-1.960156241276551370e+01
-1.403228495439877044e+01,-1.960406749168300422e+01
-1.458946320812719399e+01,-1.932118917438236139e+01
-1.506263580475271091e+01,-1.871985695521676263e+01
-1.542835791979911519e+01,-1.777948531250418185e+01
-1.566347065906962222e+01,-1.649702427977021202e+01
-1.574682602113968066e+01,-1.489103734643690657e+01
-1.566124715366940379e+01,-1.300369862342522609e+01
-1.539549230064498531e+01,-1.089972845484325426e+01
-1.494591591606481273e+01,-8.661781490784456139e+00
-1.431750247353677707e+01,-6.382613477729154994e+00
-1.352401357395601522e+01,-4.155258111360041084e+00
-1.258713802769641710e+01,-2.063101398519080476e+00
-1.153473436477868397e+01,-1.718463364724824860e-01
-1.039844556194806380e+01,1.475169397740975885e+00
-9.211084065979159519e+00,2.857801949952099463e+00
-8.004195464386032910e+00,3.976578019590234270e+00
-6.806118115988406103e+00,4.847999746400527776e+00
-5.640706329749512804e+00,5.499045980937599332e+00
-4.526731098680802035e+00,5.962006867786748820e+00
-3.477857302034046860e+00,6.270344482508931172e+00
-2.503037123579749057e+00,6.455824300311708619e+00
-1.607150981190603289e+00,6.546837353738449217e+00
-7.917521476976978612e-01,6.567663401221717656e+00
-5.581059280575628723e-02,6.538382013057866260e+00
6.036086677806060674e-01,6.475170822451237207e+00
1.190764883247669159e+00,6.390793647956491519e+00
1.710767759718551329e+00,6.295146903372125458e+00
2.169205674083908963e+00,6.195786796708522282e+00
2.571863786346370251e+00,6.098398515426410427e+00
2.924517259254374224e+00,6.007193369988513609e+00
3.232784870327788163e+00,5.925234068441937119e+00
3.502029790139203236e+00,5.854695338299992002e+00
3.737296344955282290e+00,5.797069754014075649e+00
3.943273685861161670e+00,5.753328820044813163e+00
4.124279199279526686e+00,5.724048359357158944e+00
4.284256115287290001e+00,5.709505812230357691e+00
4.426781084981596948e+00,5.709755565531981603e+00
4.555078533036635235e+00,5.724687100688821140e+00
4.672039389801853737e+00,5.754069639583725859e+00
4.780242414780040860e+00,5.797586086650423631e+00
4.881976781967079404e+00,5.854858387429357158e+00
4.979264942513307091e+00,5.925465913102929250e+00
5.073885039572269662e+00,6.008958101044151512e+00
5.167392345719457936e+00,6.104862301582621775e+00
5.261139341305774764e+00,6.212687575428115672e+00
5.356294164718009121e+00,6.331925034940210750e+00
5.453857251740229728e+00,6.462045211454046090e+00
5.554676047711611275e+00,6.602492850281067582e+00
5.659457727968557172e+00,6.752679478301019778e+00
5.768779903001803433e+00,6.911974052285085435e+00
5.883099317930131633e+00,7.079691977105942335e+00
6.002758583847712437e+00,7.255082780921727093e+00
6.127991003555114169e+00,7.437316749184408771e+00
6.258923578118043451e+00,7.625470851237988512e+00
6.395578305430038135e+00,7.818514342702511222e+00
6.537871909157285444e+00,8.015294493839309808e+00
6.685614167625487880e+00,8.214522978019319410e+00
6.838505048664870856e+00,8.414763553502101701e+00
6.996130899148593763e+00,8.614421782600192756e+00
7.157959987493753395e+00,8.811737649434858710e+00
7.323337753687863660e+00,9.004782052690924132e+00
7.491482183588169974e+00,9.191458251694026416e+00
7.661479790398755263e+00,9.369509417913496563e+00
7.832282753150229482e+00,9.536533471257245154e+00
8.002707824960930694e+00,9.690006339793505674e+00
8.171437676444188725e+00,9.827314649341158059e+00
8.337025373733885303e+00,9.945798602242456710e+00
8.497902696584741733e+00,1.004280542209487415e+01
8.652392969135755507e+00,1.011575320985531334e+01
8.798728993207710403e+00,1.016220437511681318e+01
8.935076531398621569e+00,1.017994699041583218e+01
9.059563577300343340e+00,1.016708150436392089e+01
9.170315370006701272e+00,1.012210930505503548e+01
9.265494763511535226e+00,1.004401873837789694e+01
9.343347160998170864e+00,9.932363468131912398e+00
9.402248791711544484e+00,9.787327639758276021e+00
9.440756676516217638e+00,9.609772296949262937e+00
9.457658238559522701e+00,9.401257996223138846e+00
9.452018214325883960e+00,9.164039618104350637e+00
9.423220354703730095e+00,8.901030967560787488e+00
9.371001415989436367e+00,8.615738794288191116e+00
9.295475153819312553e+00,8.312168169301987319e+00
9.197144455367579852e+00,7.994703488026344118e+00
9.076900358633455568e+00,7.667971458324324807e+00
8.936007468602541692e+00,7.336694010141764366e+00
8.776076122756464315e+00,7.005539921263899572e+00
8.599022502607207130e+00,6.678983973720409750e+00
8.407018649718526859e+00,6.361181636164011444e+00
8.202434948363075407e+00,6.055865724695190799e+00
7.987778025996286502e+00,5.766269439474566383e+00
7.765627167344114845e+00,5.495077875434063230e+00
7.538572238153109950e+00,5.244407840856768921e+00
7.309155798423475403e+00,5.015813831295250935e+00
7.079821601710652779e+00,4.810316474150900135e+00
6.852871088954677781e+00,4.628448772823805513e+00
6.630428857341590820e+00,4.470315046768577716e+00
6.414417476284289599e+00,4.335657524497673165e+00
6.206541481105627867e+00,4.223925994350673285e+00
6.008279932430132142e+00,4.134346625855159552e+00
5.820886601772635061e+00,4.065986917242812027e+00
5.645396633319652580e+00,4.017814593866004813e+00
5.482638429374287803e+00,3.988749095622155849e+00
5.333249495999075052e+00,3.977704995240799235e+00
5.197695045923247825e+00,3.983627255822711710e+00
5.076288266913194569e+00,4.005518658882120775e+00
4.969211306110087101e+00,4.042460021906847167e+00
4.876536177689763107e+00,4.093623994842969793e+00
4.798244959405083776e+00,4.158283299899510510e+00
4.734248793454526094e+00,4.235814281241735202e+00
4.684405342233247005e+00,4.325696581346877068e+00
4.648534466144609745e+00,4.427509676860306165e+00
4.626431987216179209e+00,4.540926903044030460e+00
4.617881478798964601e+00,4.665707483253459742e+00
4.622664079244414026e+00,4.801686966166053061e+00
4.640566367936577841e+00,4.948766364055863676e+00
4.671386367548506335e+00,5.106900183656676084e+00
4.714937749159322955e+00,5.276083449078311283e+00
4.771052319151221965e+00,5.456337734914047388e+00
4.839580860727504152e+00,5.647696157679185980e+00
4.920392390422672513e+00,5.850187215479705216e+00
5.013371872928376050e+00,6.063817319903206382e+00
5.118416417625859083e+00,6.288551831536485892e+00
5.235429959016921764e+00,6.524294392862348246e+00
5.364316402401464678e+00,6.770864352022433863e+00
5.504971197363561330e+00,7.027972091506270225e+00
5.657271286777832309e+00,7.295192121828006471e+00
5.821063370282849370e+00,7.571933877472602603e+00
5.996150421001824604e+00,7.857410267791113512e+00
6.182276405680753761e+00,8.150604197028892273e+00
6.379109184815567879e+00,8.450233483740902329e+00
6.586221614708101413e+00,8.754714888693184704e+00
6.803070942106609564e+00,9.062128308676351551e+00
7.028976678763584118e+00,9.370182614828458156e+00
7.263097272370071522e+00,9.676185105544155007e+00
7.504406055687479871e+00,9.977017094075458559e+00
7.751667159526277828e+00,1.026911873448946366e+01
8.003412317022595701e+00,1.054848676398229301e+01
8.257919761718564899e+00,1.081068933980467150e+01
8.513196719527176271e+00,1.105090248507000261e+01
8.766967296081459082e+00,1.126397271345751783e+01
9.016667837819065667e+00,1.144451004051954257e+01
9.259452058089113535e+00,1.158701466063504704e+01
9.492208318343706708e+00,1.168603893524890402e+01
